timestamp,Kp,Ki,Kd,yaw_error,steer_correction,acelerador,brake,target_y,vehicle_y,target_x,vehicle_x,eror_x,error_y
02-07-2025 12:10:19.753,0.05,0.001,0.02,0.0,0.0,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0
02-07-2025 12:10:19.826,0.05,0.001,0.02,0.955844762086544,1.0,0.5,0,92.57273864746094,0.0,0.0,0.0,92.57273864746094,131.0644073486328
02-07-2025 12:10:19.842,0.05,0.001,0.02,-3.1415910486328613,-1.0,0.5,0,229.64088439941406,129.47189331054688,0.0,228.99444580078125,0.6464385986328125,0.0002899169921875
02-07-2025 12:10:20.005,0.05,0.001,0.02,-3.1415910486328613,-0.15716834138722938,0.5,0,229.64088439941406,129.47189331054688,0.0,228.99444580078125,0.6464385986328125,0.0002899169921875
02-07-2025 12:10:20.025,0.05,0.001,0.02,-3.1415910486328613,-0.15722070123803994,0.5,0,229.64088439941406,129.47189331054688,0.0,228.99444580078125,0.6464385986328125,0.0002899169921875
02-07-2025 12:10:20.044,0.05,0.001,0.02,-3.1415910486328613,-0.15727306108885047,0.5,0,229.64088439941406,129.47189331054688,0.0,228.99444580078125,0.6464385986328125,0.0002899169921875
02-07-2025 12:10:20.064,0.05,0.001,0.02,-3.1415910486328613,-0.15732542093966104,0.5,0,229.64088439941406,129.47189331054688,0.0,228.99444580078125,0.6464385986328125,0.0002899169921875
02-07-2025 12:10:20.083,0.05,0.001,0.02,-3.1415910486328613,-0.15737778079047157,0.5,0,229.64088439941406,129.47189331054688,0.0,228.99444580078125,0.6464385986328125,0.0002899169921875
02-07-2025 12:10:20.103,0.05,0.001,0.02,-3.1415910486328613,-0.15743014064128213,0.5,0,229.64088439941406,129.47189331054688,0.0,228.99444580078125,0.6464385986328125,0.0002899169921875
02-07-2025 12:10:20.123,0.05,0.001,0.02,-3.1415910486328613,-0.15748250049209267,0.5,0,229.64088439941406,129.47189331054688,0.0,228.99444580078125,0.6464385986328125,0.0002899169921875
02-07-2025 12:10:20.142,0.05,0.001,0.02,-3.1415910486328613,-0.15753486034290323,0.5,0,229.64088439941406,129.47189331054688,0.0,228.99444580078125,0.6464385986328125,0.0002899169921875
02-07-2025 12:10:20.161,0.05,0.001,0.02,-3.1415910486328613,-0.15758722019371377,0.5,0,229.64088439941406,129.47189331054688,0.0,228.99444580078125,0.6464385986328125,0.0002899169921875
02-07-2025 12:10:20.183,0.05,0.001,0.02,-3.1415910486328613,-0.1576395800445243,0.5,0,229.64088439941406,129.47189331054688,0.0,228.99444580078125,0.6464385986328125,0.0002899169921875
02-07-2025 12:10:20.202,0.05,0.001,0.02,-3.1415910486328613,-0.15769193989533486,0.5,0,229.64088439941406,129.47189331054688,0.0,228.99444580078125,0.6464385986328125,0.0002899169921875
02-07-2025 12:10:20.222,0.05,0.001,0.02,-3.1415910486328613,-0.1577442997461454,0.5,0,229.64088439941406,129.47189331054688,0.0,228.99444580078125,0.6464385986328125,0.0002899169921875
02-07-2025 12:10:20.242,0.05,0.001,0.02,-3.1415910486328613,-0.15779665959695596,0.5,0,229.64088439941406,129.47189331054688,0.0,228.99444580078125,0.6464385986328125,0.0002899169921875
02-07-2025 12:10:20.262,0.05,0.001,0.02,-3.1415910486328613,-0.1578490194477665,0.5,0,229.64088439941406,129.47189331054688,0.0,228.99444580078125,0.6464385986328125,0.0002899169921875
02-07-2025 12:10:20.282,0.05,0.001,0.02,-3.1415910486328613,-0.15790137929857706,0.5,0,229.64088439941406,129.47189331054688,0.0,228.99444580078125,0.6464385986328125,0.0002899169921875
02-07-2025 12:10:20.303,0.05,0.001,0.02,-3.1415910486328613,-0.1579537391493876,0.5,0,229.64088439941406,129.47189331054688,0.0,228.99444580078125,0.6464385986328125,0.0002899169921875
02-07-2025 12:10:20.323,0.05,0.001,0.02,-3.1415910486328613,-0.15800609900019816,0.5,0,229.64088439941406,129.47189331054688,0.0,228.99444580078125,0.6464385986328125,0.0002899169921875
02-07-2025 12:10:20.342,0.05,0.001,0.02,-3.1415910486328613,-0.1580584588510087,0.5,0,229.64088439941406,129.47189331054688,0.0,228.99444580078125,0.6464385986328125,0.0002899169921875
02-07-2025 12:10:20.362,0.05,0.001,0.02,-3.1415910486328613,-0.15811081870181926,0.5,0,229.64088439941406,129.47189331054688,0.0,228.99444580078125,0.6464385986328125,0.0002899169921875
02-07-2025 12:10:20.381,0.05,0.001,0.02,-3.1415910486328613,-0.1581631785526298,0.5,0,229.64088439941406,129.47189331054688,0.0,228.99444580078125,0.6464385986328125,0.0002899169921875
02-07-2025 12:10:20.400,0.05,0.001,0.02,-3.1415910486328613,-0.15821553840344033,0.5,0,229.64088439941406,129.47189331054688,0.0,228.99444580078125,0.6464385986328125,0.0002899169921875
02-07-2025 12:10:20.419,0.05,0.001,0.02,-3.1415910486328613,-0.1582678982542509,0.5,0,229.64088439941406,129.47189331054688,0.0,228.99444580078125,0.6464385986328125,0.0002899169921875
02-07-2025 12:10:20.438,0.05,0.001,0.02,-3.1415910486328613,-0.15832025810506142,0.5,0,229.64088439941406,129.47189331054688,0.0,228.99444580078125,0.6464385986328125,0.0002899169921875
02-07-2025 12:10:20.458,0.05,0.001,0.02,-3.1415910486328613,-0.15837261795587199,0.5,0,229.64088439941406,129.47189331054688,0.0,228.99444580078125,0.6464385986328125,0.0002899169921875
02-07-2025 12:10:20.479,0.05,0.001,0.02,-3.1415910486328613,-0.15842497780668252,0.5,0,229.64088439941406,129.47189331054688,0.0,228.99444580078125,0.6464385986328125,0.0002899169921875
