timestamp,Kp,Ki,Kd,yaw_error,steer_correction,acelerador,brake,target_y,vehicle_y,target_x,vehicle_x,error_x,error_y,vehicle_height,vehicle_width,vehicle_length
03-07-2025 11:43:01.208,0.05,0.001,0.02,0.955844762086544,1.0,0.5,0,92.57273864746094,0.0,0.0,0.0,92.57273864746094,131.0644073486328,1.4750301837921143,1.970275640487671,3.805800199508667
03-07-2025 11:43:01.321,0.05,0.001,0.02,-3.1415910486328613,-1.0,0.5,0,229.64088439941406,129.47189331054688,0.0,228.99444580078125,0.6464385986328125,0.0002899169921875,1.4750301837921143,1.970275640487671,3.805800199508667
03-07-2025 11:43:01.388,0.05,0.001,0.02,-3.1415910486328613,-0.15716834138722938,0.5,0,229.64088439941406,129.47189331054688,0.0,228.99444580078125,0.6464385986328125,0.0002899169921875,1.4750301837921143,1.970275640487671,3.805800199508667
03-07-2025 11:43:01.407,0.05,0.001,0.02,-3.1415910486328613,-0.15722070123803994,0.5,0,229.64088439941406,129.47189331054688,0.0,228.99444580078125,0.6464385986328125,0.0002899169921875,1.4750301837921143,1.970275640487671,3.805800199508667
03-07-2025 11:43:01.426,0.05,0.001,0.02,-3.1415910486328613,-0.15727306108885047,0.5,0,229.64088439941406,129.47189331054688,0.0,228.99444580078125,0.6464385986328125,0.0002899169921875,1.4750301837921143,1.970275640487671,3.805800199508667
03-07-2025 11:43:01.444,0.05,0.001,0.02,-3.1415910486328613,-0.15732542093966104,0.5,0,229.64088439941406,129.47189331054688,0.0,228.99444580078125,0.6464385986328125,0.0002899169921875,1.4750301837921143,1.970275640487671,3.805800199508667
03-07-2025 11:43:01.463,0.05,0.001,0.02,-3.1415910486328613,-0.15737778079047157,0.5,0,229.64088439941406,129.47189331054688,0.0,228.99444580078125,0.6464385986328125,0.0002899169921875,1.4750301837921143,1.970275640487671,3.805800199508667
03-07-2025 11:43:01.490,0.05,0.001,0.02,-3.1415910486328613,-0.15743014064128213,0.5,0,229.64088439941406,129.47189331054688,0.0,228.99444580078125,0.6464385986328125,0.0002899169921875,1.4750301837921143,1.970275640487671,3.805800199508667
03-07-2025 11:43:01.509,0.05,0.001,0.02,-3.1415910486328613,-0.15748250049209267,0.5,0,229.64088439941406,129.47189331054688,0.0,228.99444580078125,0.6464385986328125,0.0002899169921875,1.4750301837921143,1.970275640487671,3.805800199508667
03-07-2025 11:43:01.528,0.05,0.001,0.02,-3.1415910486328613,-0.15753486034290323,0.5,0,229.64088439941406,129.47189331054688,0.0,228.99444580078125,0.6464385986328125,0.0002899169921875,1.4750301837921143,1.970275640487671,3.805800199508667
03-07-2025 11:43:01.547,0.05,0.001,0.02,-3.1415910486328613,-0.15758722019371377,0.5,0,229.64088439941406,129.47189331054688,0.0,228.99444580078125,0.6464385986328125,0.0002899169921875,1.4750301837921143,1.970275640487671,3.805800199508667
03-07-2025 11:43:01.566,0.05,0.001,0.02,-3.1415910486328613,-0.1576395800445243,0.5,0,229.64088439941406,129.47189331054688,0.0,228.99444580078125,0.6464385986328125,0.0002899169921875,1.4750301837921143,1.970275640487671,3.805800199508667
03-07-2025 11:43:01.585,0.05,0.001,0.02,-3.1415910486328613,-0.15769193989533486,0.5,0,229.64088439941406,129.47189331054688,0.0,228.99444580078125,0.6464385986328125,0.0002899169921875,1.4750301837921143,1.970275640487671,3.805800199508667
03-07-2025 11:43:01.604,0.05,0.001,0.02,-3.1415910486328613,-0.1577442997461454,0.5,0,229.64088439941406,129.47189331054688,0.0,228.99444580078125,0.6464385986328125,0.0002899169921875,1.4750301837921143,1.970275640487671,3.805800199508667
03-07-2025 11:43:01.625,0.05,0.001,0.02,-3.1415910486328613,-0.15779665959695596,0.5,0,229.64088439941406,129.47189331054688,0.0,228.99444580078125,0.6464385986328125,0.0002899169921875,1.4750301837921143,1.970275640487671,3.805800199508667
03-07-2025 11:43:01.643,0.05,0.001,0.02,-3.1415910486328613,-0.1578490194477665,0.5,0,229.64088439941406,129.47189331054688,0.0,228.99444580078125,0.6464385986328125,0.0002899169921875,1.4750301837921143,1.970275640487671,3.805800199508667
03-07-2025 11:43:01.662,0.05,0.001,0.02,-3.1415910486328613,-0.15790137929857706,0.5,0,229.64088439941406,129.47189331054688,0.0,228.99444580078125,0.6464385986328125,0.0002899169921875,1.4750301837921143,1.970275640487671,3.805800199508667
03-07-2025 11:43:01.682,0.05,0.001,0.02,-3.1415910486328613,-0.1579537391493876,0.5,0,229.64088439941406,129.47189331054688,0.0,228.99444580078125,0.6464385986328125,0.0002899169921875,1.4750301837921143,1.970275640487671,3.805800199508667
03-07-2025 11:43:01.701,0.05,0.001,0.02,-3.1415910486328613,-0.15800609900019816,0.5,0,229.64088439941406,129.47189331054688,0.0,228.99444580078125,0.6464385986328125,0.0002899169921875,1.4750301837921143,1.970275640487671,3.805800199508667
03-07-2025 11:43:01.720,0.05,0.001,0.02,-3.1415910486328613,-0.1580584588510087,0.5,0,229.64088439941406,129.47189331054688,0.0,228.99444580078125,0.6464385986328125,0.0002899169921875,1.4750301837921143,1.970275640487671,3.805800199508667
03-07-2025 11:43:01.739,0.05,0.001,0.02,-3.1415910486328613,-0.15811081870181926,0.5,0,229.64088439941406,129.47189331054688,0.0,228.99444580078125,0.6464385986328125,0.0002899169921875,1.4750301837921143,1.970275640487671,3.805800199508667
03-07-2025 11:43:01.758,0.05,0.001,0.02,-3.1415910486328613,-0.1581631785526298,0.5,0,229.64088439941406,129.47189331054688,0.0,228.99444580078125,0.6464385986328125,0.0002899169921875,1.4750301837921143,1.970275640487671,3.805800199508667
