timestamp,Kp,Ki,Kd,yaw_error,steer_correction,acelerador,brake,target_y,vehicle_y,target_x,vehicle_x,error_x,error_y
02-07-2025 12:18:02.604,0.05,0.001,0.02,0.0,0.0,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0
02-07-2025 12:18:02.676,0.05,0.001,0.02,0.955844762086544,1.0,0.5,0,92.57273864746094,0.0,0.0,0.0,92.57273864746094,131.0644073486328
02-07-2025 12:18:02.802,0.05,0.001,0.02,-3.1415910486328613,-1.0,0.5,0,229.64088439941406,129.47189331054688,0.0,228.99444580078125,0.6464385986328125,0.0002899169921875
02-07-2025 12:18:02.853,0.05,0.001,0.02,-3.1415910486328613,-0.15716834138722938,0.5,0,229.64088439941406,129.47189331054688,0.0,228.99444580078125,0.6464385986328125,0.0002899169921875
02-07-2025 12:18:02.873,0.05,0.001,0.02,-3.1415910486328613,-0.15722070123803994,0.5,0,229.64088439941406,129.47189331054688,0.0,228.99444580078125,0.6464385986328125,0.0002899169921875
02-07-2025 12:18:02.892,0.05,0.001,0.02,-3.1415910486328613,-0.15727306108885047,0.5,0,229.64088439941406,129.47189331054688,0.0,228.99444580078125,0.6464385986328125,0.0002899169921875
02-07-2025 12:18:02.912,0.05,0.001,0.02,-3.1415910486328613,-0.15732542093966104,0.5,0,229.64088439941406,129.47189331054688,0.0,228.99444580078125,0.6464385986328125,0.0002899169921875
02-07-2025 12:18:02.931,0.05,0.001,0.02,-3.1415910486328613,-0.15737778079047157,0.5,0,229.64088439941406,129.47189331054688,0.0,228.99444580078125,0.6464385986328125,0.0002899169921875
02-07-2025 12:18:02.950,0.05,0.001,0.02,-3.1415910486328613,-0.15743014064128213,0.5,0,229.64088439941406,129.47189331054688,0.0,228.99444580078125,0.6464385986328125,0.0002899169921875
02-07-2025 12:18:02.971,0.05,0.001,0.02,-3.1415910486328613,-0.15748250049209267,0.5,0,229.64088439941406,129.47189331054688,0.0,228.99444580078125,0.6464385986328125,0.0002899169921875
02-07-2025 12:18:02.991,0.05,0.001,0.02,-3.1415910486328613,-0.15753486034290323,0.5,0,229.64088439941406,129.47189331054688,0.0,228.99444580078125,0.6464385986328125,0.0002899169921875
02-07-2025 12:18:03.011,0.05,0.001,0.02,-3.1415910486328613,-0.15758722019371377,0.5,0,229.64088439941406,129.47189331054688,0.0,228.99444580078125,0.6464385986328125,0.0002899169921875
02-07-2025 12:18:03.030,0.05,0.001,0.02,-3.1415910486328613,-0.1576395800445243,0.5,0,229.64088439941406,129.47189331054688,0.0,228.99444580078125,0.6464385986328125,0.0002899169921875
02-07-2025 12:18:03.050,0.05,0.001,0.02,-3.1415910486328613,-0.15769193989533486,0.5,0,229.64088439941406,129.47189331054688,0.0,228.99444580078125,0.6464385986328125,0.0002899169921875
02-07-2025 12:18:03.071,0.05,0.001,0.02,-3.1415910486328613,-0.1577442997461454,0.5,0,229.64088439941406,129.47189331054688,0.0,228.99444580078125,0.6464385986328125,0.0002899169921875
02-07-2025 12:18:03.092,0.05,0.001,0.02,-3.1415910486328613,-0.15779665959695596,0.5,0,229.64088439941406,129.47189331054688,0.0,228.99444580078125,0.6464385986328125,0.0002899169921875
02-07-2025 12:18:03.112,0.05,0.001,0.02,-3.1415910486328613,-0.1578490194477665,0.5,0,229.64088439941406,129.47189331054688,0.0,228.99444580078125,0.6464385986328125,0.0002899169921875
02-07-2025 12:18:03.132,0.05,0.001,0.02,-3.1415910486328613,-0.15790137929857706,0.5,0,229.64088439941406,129.47189331054688,0.0,228.99444580078125,0.6464385986328125,0.0002899169921875
02-07-2025 12:18:03.151,0.05,0.001,0.02,-3.1415910486328613,-0.1579537391493876,0.5,0,229.64088439941406,129.47189331054688,0.0,228.99444580078125,0.6464385986328125,0.0002899169921875
02-07-2025 12:18:03.170,0.05,0.001,0.02,-3.1415910486328613,-0.15800609900019816,0.5,0,229.64088439941406,129.47189331054688,0.0,228.99444580078125,0.6464385986328125,0.0002899169921875
02-07-2025 12:18:03.190,0.05,0.001,0.02,-3.1415910486328613,-0.1580584588510087,0.5,0,229.64088439941406,129.47189331054688,0.0,228.99444580078125,0.6464385986328125,0.0002899169921875
02-07-2025 12:18:03.211,0.05,0.001,0.02,-3.1415910486328613,-0.15811081870181926,0.5,0,229.64088439941406,129.47189331054688,0.0,228.99444580078125,0.6464385986328125,0.0002899169921875
02-07-2025 12:18:03.229,0.05,0.001,0.02,-3.1415910486328613,-0.1581631785526298,0.5,0,229.64088439941406,129.47189331054688,0.0,228.99444580078125,0.6464385986328125,0.0002899169921875
02-07-2025 12:18:03.250,0.05,0.001,0.02,-3.1415910486328613,-0.15821553840344033,0.5,0,229.64088439941406,129.47189331054688,0.0,228.99444580078125,0.6464385986328125,0.0002899169921875
02-07-2025 12:18:03.270,0.05,0.001,0.02,-3.1415910486328613,-0.1582678982542509,0.5,0,229.64088439941406,129.47189331054688,0.0,228.99444580078125,0.6464385986328125,0.0002899169921875
02-07-2025 12:18:03.291,0.05,0.001,0.02,-3.1415910486328613,-0.15832025810506142,0.5,0,229.64088439941406,129.47189331054688,0.0,228.99444580078125,0.6464385986328125,0.0002899169921875
02-07-2025 12:18:03.311,0.05,0.001,0.02,-3.1415910486328613,-0.15837261795587199,0.5,0,229.64088439941406,129.47189331054688,0.0,228.99444580078125,0.6464385986328125,0.0002899169921875
02-07-2025 12:18:03.332,0.05,0.001,0.02,-3.1415910486328613,-0.15842497780668252,0.5,0,229.64088439941406,129.47189331054688,0.0,228.99444580078125,0.6464385986328125,0.0002899169921875
